product_id,product_name,category,description,rating,eco_friendly,price,brand
29,Biodegradable Trash Bags,Sports,Ethically sourced and produced,3.8,Yes,21.85,EcoEssentials
30,Solar-Powered Gadgets,Pet Supplies,Ethically sourced and produced,4.7,Yes,20.92,EcoEssentials
31,Organic Tea,Jewelry,Made from recycled materials,3.5,Yes,22.02,EcoCarry
32,Solar-Powered Gadgets,Outdoor,Certified organic and biodegradable,4.0,Yes,34.6,GreenLeaf
33,Organic Cotton Towel,Health,Eco-friendly product with natural ingredients,3.8,Yes,21.18,ReNew
34,Reusable Coffee Cup,Clothing,Sustainable and organic,4.3,Yes,45.52,SunPower
35,Reusable Coffee Cup,Sports,Ethically sourced and produced,4.6,Yes,49.25,EarthWise
36,Eco Shampoo,Beauty,Energy-efficient and green,3.6,Yes,6.37,EcoFlex
37,Eco-Friendly Tote Bag,Food,Sustainable and organic,4.3,Yes,13.71,ReNew
38,Reusable Bag,Books,Ethically sourced and produced,4.9,Yes,10.05,EcoBrand
39,Eco-Friendly Packaging,Office Supplies,Eco-friendly product with natural ingredients,3.8,Yes,6.91,FreshEarth
40,Bamboo Utensil Set,Beauty,Low impact on the environment,4.5,Yes,15.25,EcoFlex
41,Solar-Powered Gadgets,Health,Certified organic and biodegradable,4.4,Yes,25.11,PlanetCare
42,Solar-Powered Gadgets,Clothing,Certified organic and biodegradable,3.5,Yes,42.66,EcoBrand
43,Solar-Powered Gadgets,Sports,Low impact on the environment,4.2,Yes,14.98,EcoBrand
44,Energy-Efficient Light Bulbs,Beauty,Made from recycled materials,4.6,Yes,27.23,EcoBrand
45,Compostable Cutlery,Personal Care,Energy-efficient and green,3.6,Yes,46.83,SunPower
46,Eco Shampoo,Food,Energy-efficient and green,4.8,Yes,35.02,EarthWise
47,Organic Soap,Books,Made from recycled materials,4.3,Yes,40.91,EcoFlex
48,Eco-Friendly Notebook,Books,Low impact on the environment,3.5,Yes,29.79,BioStyle
49,Eco Shampoo,Jewelry,Ethically sourced and produced,3.8,Yes,49.12,BioStyle
50,Eco-Friendly Water Bottle,Home Improvement,Non-toxic and safe,4.9,Yes,31.49,EcoEssentials
51,Biodegradable Trash Bags,Beauty,Certified organic and biodegradable,4.4,Yes,7.05,PlanetCare
52,Organic Bedding,Sports,Sustainable and organic,3.7,Yes,13.91,GreenClean
53,Reusable Bag,Food,Made from recycled materials,3.9,Yes,23.21,FreshEarth
54,Natural Cleaning Products,Food,Certified organic and biodegradable,4.2,Yes,32.06,EcoBrand
55,Eco-Friendly Tote Bag,Office Supplies,Sustainable and organic,3.5,Yes,39.74,GreenLeaf
56,Organic Bedding,Outdoor,Ethically sourced and produced,4.1,Yes,23.59,PureLife
57,Bamboo Toothbrush,Books,Certified organic and biodegradable,4.2,Yes,36.95,EarthWise
58,Eco Shampoo,Jewelry,Eco-friendly product with natural ingredients,3.9,Yes,40.54,EcoEssentials
59,Eco Shampoo,Personal Care,Made from recycled materials,4.4,Yes,19.28,EcoEssentials
60,Solar Charger,Outdoor,Made with renewable resources,4.6,Yes,49.07,FreshEarth
61,Eco-Friendly Laundry Detergent,Beauty,Sustainable and organic,3.9,Yes,34.23,ReNew
62,Organic Cotton Towel,Health,Made with renewable resources,4.4,Yes,44.64,EcoBrand
63,Biodegradable Phone Case,Home Improvement,Certified organic and biodegradable,4.5,Yes,30.02,GreenLeaf
64,Reusable Straw,Toys,Eco-friendly product with natural ingredients,4.9,Yes,38.37,ReNew
65,Biodegradable Trash Bags,Beauty,Made with renewable resources,4.7,Yes,39.67,Nature’s Best
66,Bamboo Utensil Set,Electronics,Ethically sourced and produced,4.8,Yes,45.87,EcoFlex
67,Reusable Coffee Cup,Books,Non-toxic and safe,4.2,Yes,11.77,GreenLeaf
68,Solar Charger,Sports,Non-toxic and safe,3.8,Yes,30.12,FreshEarth
69,Eco-Friendly Notebook,Personal Care,Low impact on the environment,5.0,Yes,24.28,EcoEssentials
70,Eco-Friendly Water Bottle,Beauty,Certified organic and biodegradable,3.7,Yes,46.54,EcoBrand
71,Eco-Friendly Packaging,Toys,Made with renewable resources,4.2,Yes,9.73,EarthWise
72,Organic Soap,Jewelry,Ethically sourced and produced,3.6,Yes,49.22,EarthWise
73,Organic Soap,Personal Care,Non-toxic and safe,4.9,Yes,44.4,EcoEssentials
74,Compostable Cutlery,Beauty,Sustainable and organic,4.9,Yes,8.32,SunPower
75,Eco-Friendly Notebook,Health,Eco-friendly product with natural ingredients,4.6,Yes,27.09,ReNew
76,Reusable Bag,Household,Eco-friendly product with natural ingredients,4.0,Yes,37.29,SustainIt
77,Biodegradable Phone Case,Office Supplies,Ethically sourced and produced,3.9,Yes,38.22,BioStyle
78,Organic Bedding,Books,Low impact on the environment,3.9,Yes,45.79,GreenClean
79,Natural Cleaning Products,Home Improvement,Made from recycled materials,3.7,Yes,40.99,ReNew
80,Energy-Efficient Light Bulbs,Electronics,Low impact on the environment,4.3,Yes,18.99,EarthWise
81,Eco-Friendly Tote Bag,Pet Supplies,Sustainable and organic,3.7,Yes,27.43,EarthWise
82,Eco Shampoo,Home Improvement,Made with renewable resources,4.0,Yes,36.58,EarthWise
83,Energy-Efficient Light Bulbs,Clothing,Made with renewable resources,4.4,Yes,11.23,BioStyle
84,Reusable Bag,Home Improvement,Eco-friendly product with natural ingredients,4.6,Yes,13.73,SunPower
85,Eco-Friendly Laundry Detergent,Pet Supplies,Made with renewable resources,3.5,Yes,26.65,PureLife
86,Sustainable Fashion,Books,Low impact on the environment,4.1,Yes,18.42,PlanetCare
87,Eco-Friendly Water Bottle,Household,Eco-friendly product with natural ingredients,4.5,Yes,43.82,ReNew
88,Biodegradable Trash Bags,Beauty,Energy-efficient and green,4.8,Yes,31.38,ReNew
89,Natural Cleaning Products,Electronics,Reusable and eco-conscious,4.2,Yes,20.69,EcoBrand
90,Solar Charger,Clothing,Made with renewable resources,5.0,Yes,43.2,GreenClean
91,Biodegradable Phone Case,Pet Supplies,Ethically sourced and produced,3.9,Yes,41.22,BioStyle
92,Solar Charger,Home Improvement,Reusable and eco-conscious,3.5,Yes,49.93,SunPower
93,Reusable Coffee Cup,Sports,Certified organic and biodegradable,4.2,Yes,43.13,ReNew
94,Biodegradable Trash Bags,Clothing,Ethically sourced and produced,3.9,Yes,23.65,GreenClean
95,Reusable Bag,Home Improvement,Low impact on the environment,4.7,Yes,10.74,GreenLeaf
96,Sustainable Fashion,Jewelry,Low impact on the environment,3.8,Yes,42.83,EcoCarry
97,Solar Charger,Clothing,Energy-efficient and green,4.0,Yes,7.69,BioStyle
98,Biodegradable Trash Bags,Household,Sustainable and organic,4.7,Yes,20.76,FreshEarth
99,Reusable Straw,Electronics,Ethically sourced and produced,4.6,Yes,46.39,Nature’s Best
100,Energy-Efficient Light Bulbs,Pet Supplies,Energy-efficient and green,4.3,Yes,48.23,SunPower
101,Reusable Coffee Cup,Jewelry,Ethically sourced and produced,4.6,Yes,33.83,EcoEssentials
102,Biodegradable Trash Bags,Pet Supplies,Ethically sourced and produced,4.1,Yes,35.99,SustainIt
103,Reusable Bag,Sports,Low impact on the environment,3.5,Yes,6.91,EcoBrand
104,Organic Bedding,Electronics,Made from recycled materials,3.5,Yes,28.15,FreshEarth
105,Reusable Coffee Cup,Beauty,Certified organic and biodegradable,4.3,Yes,29.61,FreshEarth
106,Organic Skincare,Home Improvement,Sustainable and organic,3.6,Yes,20.3,EarthWise
107,Eco-Friendly Laundry Detergent,Toys,Energy-efficient and green,3.6,Yes,8.09,EcoBrand
108,Eco-Friendly Laundry Detergent,Sports,Reusable and eco-conscious,4.9,Yes,15.3,GreenClean
109,Organic Tea,Toys,Non-toxic and safe,4.8,Yes,21.11,Nature’s Best
110,Bamboo Utensil Set,Health,Made with renewable resources,3.7,Yes,24.58,EcoFlex
111,Organic Cotton Towel,Health,Energy-efficient and green,3.5,Yes,31.59,ReNew
112,Eco-Friendly Notebook,Office Supplies,Sustainable and organic,4.9,Yes,37.51,ReNew
113,Reusable Bag,Electronics,Certified organic and biodegradable,3.9,Yes,19.29,PureLife
114,Eco Shampoo,Toys,Reusable and eco-conscious,3.8,Yes,19.8,PlanetCare
115,Organic Cotton Towel,Beauty,Made from recycled materials,4.5,Yes,5.89,BioStyle
116,Eco Shampoo,Health,Made from recycled materials,3.7,Yes,6.84,EcoEssentials
117,Bamboo Utensil Set,Jewelry,Energy-efficient and green,3.9,Yes,16.6,BioStyle
118,Eco-Friendly Tote Bag,Personal Care,Sustainable and organic,5.0,Yes,38.31,GreenClean
119,Solar Charger,Pet Supplies,Low impact on the environment,4.5,Yes,33.27,EcoCarry
120,Bamboo Toothbrush,Office Supplies,Reusable and eco-conscious,4.3,Yes,39.64,EarthWise
121,Organic Tea,Toys,Ethically sourced and produced,4.1,Yes,39.6,EcoCarry
122,Reusable Bag,Outdoor,Energy-efficient and green,4.7,Yes,43.55,EcoFlex
123,Bamboo Toothbrush,Personal Care,Non-toxic and safe,3.7,Yes,37.41,EcoCarry
124,Eco-Friendly Water Bottle,Toys,Sustainable and organic,5.0,Yes,49.06,SustainIt
125,Organic Skincare,Books,Ethically sourced and produced,4.8,Yes,45.45,PlanetCare
126,Organic Tea,Pet Supplies,Non-toxic and safe,4.4,Yes,31.4,BioStyle
127,Compostable Cutlery,Sports,Energy-efficient and green,3.6,Yes,31.47,EcoFlex
128,Eco-Friendly Laundry Detergent,Jewelry,Ethically sourced and produced,4.6,Yes,6.54,EarthWise
129,Eco-Friendly Notebook,Health,Made with renewable resources,4.9,Yes,49.93,EcoEssentials
130,Eco Shampoo,Pet Supplies,Energy-efficient and green,4.3,Yes,10.92,BioStyle
131,Eco-Friendly Water Bottle,Food,Energy-efficient and green,4.0,Yes,38.32,PureLife
132,Eco-Friendly Tote Bag,Jewelry,Reusable and eco-conscious,3.7,Yes,41.95,EcoFlex
133,Natural Cleaning Products,Home Improvement,Reusable and eco-conscious,4.6,Yes,21.79,SustainIt
134,Organic Bedding,Health,Sustainable and organic,4.8,Yes,13.86,FreshEarth
135,Bamboo Toothbrush,Food,Made from recycled materials,3.7,Yes,9.44,ReNew
136,Bamboo Toothbrush,Books,Eco-friendly product with natural ingredients,4.6,Yes,38.69,GreenLeaf
137,Reusable Bag,Electronics,Sustainable and organic,3.5,Yes,25.37,GreenLeaf
138,Reusable Bag,Sports,Non-toxic and safe,5.0,Yes,37.12,PureLife
139,Eco-Friendly Tote Bag,Office Supplies,Sustainable and organic,4.4,Yes,46.19,EcoEssentials
140,Energy-Efficient Light Bulbs,Household,Low impact on the environment,4.3,Yes,11.6,EcoFlex
141,Reusable Bag,Home Improvement,Non-toxic and safe,3.9,Yes,46.36,EcoBrand
142,Biodegradable Trash Bags,Electronics,Certified organic and biodegradable,4.9,Yes,23.52,EcoEssentials
143,Bamboo Utensil Set,Electronics,Low impact on the environment,3.9,Yes,18.74,SunPower
144,Eco-Friendly Tote Bag,Office Supplies,Made from recycled materials,4.7,Yes,47.44,Nature’s Best
145,Energy-Efficient Light Bulbs,Jewelry,Eco-friendly product with natural ingredients,5.0,Yes,49.58,EcoBrand
146,Eco-Friendly Notebook,Food,Made with renewable resources,4.7,Yes,13.95,EarthWise
147,Organic Soap,Books,Made from recycled materials,4.3,Yes,34.56,EcoCarry
148,Solar Charger,Health,Reusable and eco-conscious,3.6,Yes,9.79,EcoCarry
149,Eco-Friendly Water Bottle,Clothing,Ethically sourced and produced,4.2,Yes,34.29,SunPower
150,Sustainable Footwear,Pet Supplies,Non-toxic and safe,4.2,Yes,42.23,FreshEarth
151,Natural Cleaning Products,Electronics,Made with renewable resources,3.8,Yes,35.8,PureLife
152,Reusable Straw,Office Supplies,Made from recycled materials,4.1,Yes,23.78,ReNew
153,Natural Cleaning Products,Jewelry,Energy-efficient and green,4.0,Yes,22.24,FreshEarth
154,Bamboo Toothbrush,Pet Supplies,Made with renewable resources,3.7,Yes,22.69,EcoBrand
155,Solar-Powered Gadgets,Electronics,Low impact on the environment,4.2,Yes,31.54,SunPower
156,Organic Tea,Household,Made with renewable resources,3.9,Yes,44.67,Nature’s Best
157,Eco Shampoo,Office Supplies,Made from recycled materials,4.3,Yes,46.81,SustainIt
158,Sustainable Footwear,Personal Care,Low impact on the environment,3.6,Yes,7.41,GreenClean
159,Eco Shampoo,Home Improvement,Non-toxic and safe,4.9,Yes,13.17,ReNew
160,Biodegradable Phone Case,Personal Care,Made from recycled materials,4.7,Yes,10.05,PureLife
161,Solar-Powered Gadgets,Electronics,Made with renewable resources,4.3,Yes,13.7,GreenClean
162,Energy-Efficient Light Bulbs,Outdoor,Sustainable and organic,4.8,Yes,20.6,PureLife
163,Eco-Friendly Water Bottle,Beauty,Made from recycled materials,4.9,Yes,27.79,EcoBrand
164,Solar-Powered Gadgets,Pet Supplies,Made with renewable resources,3.7,Yes,33.33,PureLife
165,Eco-Friendly Packaging,Toys,Certified organic and biodegradable,4.4,Yes,37.95,Nature’s Best
166,Reusable Straw,Personal Care,Certified organic and biodegradable,5.0,Yes,45.06,SunPower
167,Organic Skincare,Toys,Energy-efficient and green,5.0,Yes,49.51,PlanetCare
168,Eco-Friendly Packaging,Books,Ethically sourced and produced,4.4,Yes,34.83,SunPower
169,Bamboo Toothbrush,Outdoor,Made from recycled materials,3.7,Yes,43.04,EarthWise
170,Reusable Bag,Outdoor,Low impact on the environment,4.4,Yes,40.01,BioStyle
171,Bamboo Toothbrush,Household,Non-toxic and safe,3.5,Yes,18.84,EcoEssentials
172,Natural Cleaning Products,Personal Care,Low impact on the environment,3.8,Yes,44.41,EcoCarry
173,Organic Skincare,Food,Reusable and eco-conscious,4.9,Yes,6.92,Nature’s Best
174,Organic Tea,Outdoor,Non-toxic and safe,4.0,Yes,5.02,FreshEarth
175,Reusable Straw,Electronics,Made from recycled materials,4.5,Yes,17.32,EcoBrand
176,Reusable Straw,Beauty,Ethically sourced and produced,3.9,Yes,25.79,GreenClean
177,Solar-Powered Gadgets,Office Supplies,Made with renewable resources,4.9,Yes,33.73,PlanetCare
178,Reusable Straw,Jewelry,Non-toxic and safe,4.6,Yes,9.58,EcoFlex
179,Bamboo Toothbrush,Food,Eco-friendly product with natural ingredients,4.0,Yes,35.29,PlanetCare
180,Eco-Friendly Packaging,Books,Made with renewable resources,4.7,Yes,41.08,PlanetCare
181,Biodegradable Trash Bags,Beauty,Sustainable and organic,3.7,Yes,13.34,EcoBrand
182,Reusable Bag,Outdoor,Reusable and eco-conscious,4.1,Yes,23.68,GreenLeaf
183,Sustainable Fashion,Health,Ethically sourced and produced,3.8,Yes,28.4,GreenLeaf
184,Energy-Efficient Light Bulbs,Clothing,Eco-friendly product with natural ingredients,4.5,Yes,25.33,EcoFlex
185,Eco Shampoo,Health,Ethically sourced and produced,3.7,Yes,40.99,PureLife
186,Solar Charger,Office Supplies,Certified organic and biodegradable,4.1,Yes,48.22,SunPower
187,Reusable Bag,Beauty,Non-toxic and safe,3.9,Yes,40.95,EcoEssentials
188,Organic Skincare,Health,Certified organic and biodegradable,4.3,Yes,8.51,SustainIt
189,Natural Cleaning Products,Electronics,Reusable and eco-conscious,4.0,Yes,41.22,EarthWise
190,Sustainable Footwear,Office Supplies,Ethically sourced and produced,4.6,Yes,8.0,EcoBrand
191,Organic Skincare,Office Supplies,Made from recycled materials,3.5,Yes,15.62,EcoCarry
192,Organic Skincare,Health,Sustainable and organic,4.5,Yes,11.89,FreshEarth
193,Natural Cleaning Products,Food,Made with renewable resources,3.8,Yes,13.89,PlanetCare
194,Eco-Friendly Packaging,Books,Made from recycled materials,3.9,Yes,28.77,SunPower
195,Organic Tea,Food,Certified organic and biodegradable,4.7,Yes,35.23,FreshEarth
196,Eco-Friendly Packaging,Pet Supplies,Ethically sourced and produced,4.9,Yes,26.16,Nature’s Best
197,Eco-Friendly Laundry Detergent,Home Improvement,Ethically sourced and produced,4.0,Yes,48.19,PureLife
198,Energy-Efficient Light Bulbs,Clothing,Sustainable and organic,4.7,Yes,15.81,EcoFlex
199,Organic Tea,Health,Non-toxic and safe,3.7,Yes,39.34,EcoCarry
200,Sustainable Footwear,Pet Supplies,Made with renewable resources,4.5,Yes,44.16,EcoCarry
201,Eco-Friendly Laundry Detergent,Food,Reusable and eco-conscious,4.6,Yes,30.29,GreenClean
202,Solar-Powered Gadgets,Books,Sustainable and organic,3.7,Yes,25.53,SunPower
203,Organic Soap,Household,Eco-friendly product with natural ingredients,4.1,Yes,31.83,SunPower
204,Reusable Straw,Beauty,Sustainable and organic,4.8,Yes,24.3,FreshEarth
205,Eco Shampoo,Pet Supplies,Eco-friendly product with natural ingredients,3.7,Yes,29.98,PlanetCare
206,Solar Charger,Beauty,Sustainable and organic,3.5,Yes,23.76,SunPower
207,Biodegradable Phone Case,Toys,Sustainable and organic,4.4,Yes,23.02,EcoEssentials
208,Eco-Friendly Laundry Detergent,Outdoor,Low impact on the environment,4.2,Yes,36.29,BioStyle
209,Organic Skincare,Jewelry,Certified organic and biodegradable,4.7,Yes,9.18,SustainIt
210,Compostable Cutlery,Home Improvement,Certified organic and biodegradable,4.9,Yes,12.49,EcoCarry
211,Eco-Friendly Packaging,Food,Made from recycled materials,3.9,Yes,43.3,Nature’s Best
212,Eco-Friendly Packaging,Pet Supplies,Reusable and eco-conscious,4.1,Yes,39.7,BioStyle
213,Reusable Coffee Cup,Food,Eco-friendly product with natural ingredients,4.2,Yes,17.67,EcoCarry
214,Eco-Friendly Notebook,Health,Made with renewable resources,4.4,Yes,21.98,EcoCarry
215,Eco-Friendly Tote Bag,Personal Care,Energy-efficient and green,5.0,Yes,46.67,GreenLeaf
216,Reusable Straw,Home Improvement,Low impact on the environment,4.5,Yes,41.81,EcoBrand
217,Sustainable Footwear,Jewelry,Eco-friendly product with natural ingredients,4.1,Yes,32.65,PlanetCare
218,Reusable Coffee Cup,Sports,Ethically sourced and produced,3.9,Yes,14.97,PlanetCare
219,Natural Cleaning Products,Food,Made from recycled materials,4.9,Yes,6.99,EcoEssentials
220,Biodegradable Phone Case,Household,Made from recycled materials,3.7,Yes,24.41,GreenLeaf
221,Reusable Coffee Cup,Food,Non-toxic and safe,4.6,Yes,35.27,FreshEarth
222,Organic Soap,Health,Energy-efficient and green,4.9,Yes,42.28,ReNew
223,Sustainable Footwear,Office Supplies,Non-toxic and safe,4.5,Yes,43.37,SunPower
224,Sustainable Fashion,Toys,Eco-friendly product with natural ingredients,4.1,Yes,6.47,EcoBrand
225,Eco-Friendly Packaging,Toys,Low impact on the environment,3.8,Yes,15.99,EarthWise
226,Eco-Friendly Packaging,Books,Ethically sourced and produced,4.1,Yes,20.26,ReNew
227,Reusable Bag,Health,Made from recycled materials,4.6,Yes,13.49,FreshEarth
228,Eco-Friendly Tote Bag,Jewelry,Eco-friendly product with natural ingredients,4.5,Yes,41.13,ReNew
229,Reusable Coffee Cup,Jewelry,Eco-friendly product with natural ingredients,4.9,Yes,39.54,EarthWise
230,Reusable Bag,Outdoor,Sustainable and organic,4.8,Yes,28.26,BioStyle
231,Eco-Friendly Water Bottle,Sports,Reusable and eco-conscious,4.7,Yes,49.23,PlanetCare
232,Sustainable Fashion,Pet Supplies,Eco-friendly product with natural ingredients,4.9,Yes,11.48,FreshEarth
233,Biodegradable Phone Case,Food,Reusable and eco-conscious,3.9,Yes,45.48,EcoCarry
234,Reusable Bag,Books,Reusable and eco-conscious,4.1,Yes,10.24,EarthWise
235,Sustainable Footwear,Toys,Non-toxic and safe,4.1,Yes,12.34,Nature’s Best
236,Organic Cotton Towel,Beauty,Low impact on the environment,4.3,Yes,36.33,GreenLeaf
237,Organic Bedding,Toys,Made with renewable resources,4.5,Yes,9.93,EcoBrand
238,Natural Cleaning Products,Electronics,Certified organic and biodegradable,3.9,Yes,30.46,EcoCarry
239,Eco Shampoo,Home Improvement,Non-toxic and safe,3.5,Yes,23.91,GreenClean
240,Natural Cleaning Products,Books,Certified organic and biodegradable,4.1,Yes,37.78,EcoBrand
241,Reusable Straw,Home Improvement,Reusable and eco-conscious,4.0,Yes,45.53,GreenLeaf
242,Biodegradable Trash Bags,Beauty,Energy-efficient and green,4.9,Yes,39.64,EcoBrand
243,Eco-Friendly Water Bottle,Pet Supplies,Made with renewable resources,4.8,Yes,43.24,GreenLeaf
244,Sustainable Footwear,Jewelry,Made with renewable resources,4.8,Yes,6.48,PlanetCare
245,Natural Cleaning Products,Electronics,Ethically sourced and produced,4.5,Yes,18.96,GreenClean
246,Organic Cotton Towel,Food,Made with renewable resources,4.0,Yes,28.19,EcoBrand
247,Reusable Coffee Cup,Toys,Reusable and eco-conscious,4.3,Yes,23.72,GreenClean
248,Reusable Straw,Clothing,Energy-efficient and green,4.7,Yes,15.41,Nature’s Best
249,Bamboo Toothbrush,Household,Sustainable and organic,3.6,Yes,18.85,ReNew
250,Solar-Powered Gadgets,Food,Sustainable and organic,4.7,Yes,47.54,EcoBrand
251,Organic Bedding,Jewelry,Sustainable and organic,3.6,Yes,18.24,PlanetCare
252,Eco-Friendly Laundry Detergent,Outdoor,Made with renewable resources,4.7,Yes,20.93,ReNew
253,Solar-Powered Gadgets,Beauty,Non-toxic and safe,4.7,Yes,5.17,SustainIt
254,Energy-Efficient Light Bulbs,Food,Eco-friendly product with natural ingredients,3.6,Yes,43.03,EcoCarry
255,Biodegradable Trash Bags,Outdoor,Non-toxic and safe,4.4,Yes,11.97,EcoFlex
256,Eco-Friendly Laundry Detergent,Clothing,Eco-friendly product with natural ingredients,4.3,Yes,14.19,PlanetCare
257,Reusable Bag,Toys,Reusable and eco-conscious,3.8,Yes,16.49,FreshEarth
258,Reusable Bag,Household,Sustainable and organic,3.7,Yes,44.81,EcoCarry
259,Compostable Cutlery,Sports,Energy-efficient and green,4.7,Yes,14.29,Nature’s Best
260,Eco-Friendly Notebook,Outdoor,Low impact on the environment,4.4,Yes,40.89,Nature’s Best
261,Eco-Friendly Notebook,Household,Eco-friendly product with natural ingredients,5.0,Yes,41.36,Nature’s Best
262,Eco-Friendly Notebook,Electronics,Low impact on the environment,5.0,Yes,46.72,SunPower
263,Organic Bedding,Household,Low impact on the environment,5.0,Yes,10.2,FreshEarth
264,Reusable Bag,Jewelry,Reusable and eco-conscious,3.7,Yes,14.78,GreenClean
265,Energy-Efficient Light Bulbs,Household,Certified organic and biodegradable,4.9,Yes,38.43,BioStyle
266,Eco-Friendly Tote Bag,Sports,Low impact on the environment,3.9,Yes,13.82,SunPower
267,Sustainable Fashion,Food,Low impact on the environment,4.2,Yes,17.88,FreshEarth
268,Reusable Bag,Books,Ethically sourced and produced,4.6,Yes,12.5,PlanetCare
269,Eco-Friendly Notebook,Jewelry,Reusable and eco-conscious,3.8,Yes,12.77,GreenClean
270,Eco-Friendly Water Bottle,Personal Care,Ethically sourced and produced,4.3,Yes,26.67,PlanetCare
271,Organic Skincare,Clothing,Eco-friendly product with natural ingredients,3.8,Yes,9.94,EcoBrand
272,Compostable Cutlery,Household,Made from recycled materials,3.7,Yes,19.48,EcoEssentials
273,Compostable Cutlery,Household,Non-toxic and safe,3.7,Yes,24.2,EarthWise
274,Eco-Friendly Laundry Detergent,Pet Supplies,Non-toxic and safe,4.0,Yes,6.1,PureLife
275,Organic Soap,Office Supplies,Made with renewable resources,3.5,Yes,22.47,FreshEarth
276,Sustainable Fashion,Health,Eco-friendly product with natural ingredients,4.1,Yes,9.24,BioStyle
277,Bamboo Toothbrush,Jewelry,Energy-efficient and green,4.5,Yes,27.21,EcoFlex
278,Bamboo Toothbrush,Health,Sustainable and organic,4.1,Yes,42.16,EcoEssentials
279,Eco-Friendly Packaging,Personal Care,Made from recycled materials,3.6,Yes,41.83,EcoFlex
280,Organic Soap,Electronics,Ethically sourced and produced,3.6,Yes,8.62,BioStyle
281,Organic Cotton Towel,Beauty,Made with renewable resources,3.9,Yes,32.06,SustainIt
282,Reusable Straw,Sports,Low impact on the environment,3.8,Yes,42.56,SunPower
283,Solar Charger,Office Supplies,Reusable and eco-conscious,4.9,Yes,15.71,ReNew
284,Eco Shampoo,Home Improvement,Made with renewable resources,3.7,Yes,39.29,EcoEssentials
285,Natural Cleaning Products,Jewelry,Made from recycled materials,4.7,Yes,45.08,EcoBrand
286,Bamboo Toothbrush,Electronics,Energy-efficient and green,4.4,Yes,41.28,EcoFlex
287,Organic Cotton Towel,Books,Non-toxic and safe,4.4,Yes,9.83,EcoFlex
288,Eco-Friendly Laundry Detergent,Clothing,Made with renewable resources,4.3,Yes,5.41,ReNew
289,Organic Tea,Home Improvement,Eco-friendly product with natural ingredients,5.0,Yes,13.63,Nature’s Best
290,Reusable Straw,Jewelry,Eco-friendly product with natural ingredients,4.0,Yes,17.17,PureLife
291,Organic Soap,Personal Care,Sustainable and organic,4.7,Yes,32.73,PureLife
292,Bamboo Utensil Set,Office Supplies,Certified organic and biodegradable,4.3,Yes,22.29,EcoCarry
293,Organic Tea,Health,Made from recycled materials,4.1,Yes,36.65,EcoBrand
294,Reusable Bag,Home Improvement,Ethically sourced and produced,4.9,Yes,20.89,EcoCarry
295,Eco-Friendly Packaging,Electronics,Eco-friendly product with natural ingredients,4.4,Yes,11.95,PureLife
